name,description,lat,lng
狭山公園,http://www.sayamaparks.com/sayama/,35.763192,139.44159
猿江恩賜公園,http://tokyo-eastpark.com/sarueonshi/,35.690754,139.818454
汐入公園,http://www.tokyo-park.or.jp/park/format/index017.html,35.7365,139.809326
潮風公園,http://www.tptc.co.jp/park/01_03<br>一部工事中の箇所あり,35.624017,139.768858
篠崎公園,https://www.tokyo-park.or.jp/park/format/index025.html,35.715888,139.897894
芝公園,https://www.tokyo-park.or.jp/park/format/index001.html,35.654709,139.747998
石神井公園,https://www.tokyo-park.or.jp/park/format/index006.html,35.738175,139.596213
城北中央公園,https://www.tokyo-park.or.jp/park/format/index022.html,35.756099,139.672888
神代植物公園,https://www.tokyo-park.or.jp/park/format/index045.html<br>入園料がかかります,35.669088,139.547297
浅間山公園,http://musashinoparks.com/kouen/sengenyama/,35.679281,139.500406
善福寺川緑地,https://www.tokyo-park.or.jp/park/format/index021.html,35.690298,139.632341
善福寺公園,https://www.tokyo-park.or.jp/park/format/index010.html,35.715263,139.589825
祖師谷公園,https://www.tokyo-park.or.jp/park/format/index008.html,35.654178,139.599095
台場公園,http://www.tptc.co.jp/park/01_02,35.633906,139.772664
滝山公園,https://tamaparks.com/takiyama/,35.701066,139.329217
玉川上水緑道,http://musashinoparks.com/kouen/tamagawa/,35.68131,139.602805
多摩動物公園,http://www.tokyo-zoo.net/zoo/tama/<br>入園料がかかります,35.64998,139.402052
東京臨海広域防災公園,http://www.tokyorinkai-koen.jp/,35.635418,139.794339
舎人公園,https://www.tokyo-park.or.jp/park/format/index024.html,35.797453,139.769571
殿ヶ谷戸庭園,https://www.tokyo-park.or.jp/teien/contents/index036.html<br>入園料がかかります,35.698255,139.481865
戸山公園,https://www.tokyo-park.or.jp/park/format/index002.html,35.705558,139.715056
中川公園,http://tokyo-eastpark.com/nakagawa/,35.775686,139.84613
中藤公園,http://www.sayamaparks.com/nakato/,35.761508,139.397355
長沼公園,https://www.tokyo-park.or.jp/park/format/index067.html,35.637743,139.368535
野川公園,http://musashinoparks.com/kouen/nogawa/,35.682834,139.525446
野山北・六道山公園,http://www.sayamaparks.com/noyama/,35.765484,139.379253
八国山緑地,http://www.sayamaparks.com/hachikokuyama/,35.767895,139.455835
浜離宮恩賜庭園,https://www.tokyo-park.or.jp/teien/contents/index028.html<br>入園料がかかります,35.660173,139.763771
東綾瀬公園,http://tokyo-eastpark.com/higashiayase/,35.770226,139.833413
東白鬚公園,http://www.tokyo-park.or.jp/park/format/index012.html,35.732864,139.814099
東伏見公園,https://musashinoparks.com/kouen/higashifushimi/,35.728275,139.556966
東村山中央公園,http://www.tokyo-park.or.jp/park/format/index051.html,35.747604,139.45983
東大和公園,http://www.sayamaparks.com/higashiyamato/,35.756438,139.430966
東大和南公園,http://www.tokyo-park.or.jp/park/format/index052.html,35.734034,139.422653
光が丘公園,https://www.tokyo-park.or.jp/park/format/index023.html,35.767372,139.628552
日比谷公園,https://www.tokyo-park.or.jp/park/format/index037.html,35.67383,139.756235
平山城址公園,https://www.tokyo-park.or.jp/park/format/index066.html,35.639381,139.381524
府中の森公園,http://www.tokyo-park.or.jp/park/format/index048.html,35.677142,139.49206
水元公園,https://www.tokyo-park.or.jp/park/format/index041.html,35.791678,139.870477
向島百花園,https://www.tokyo-park.or.jp/teien/contents/index032.html<br>入園料がかかります,35.723857,139.81559
武蔵国分寺公園,http://musashinoparks.com/kouen/musasikoku/,35.697146,139.472199
武蔵野公園,http://musashinoparks.com/kouen/musasino/,35.688571,139.519166
武蔵野中央公園,http://www.tokyo-park.or.jp/park/format/index059.html,35.718094,139.558432
武蔵野の森公園,https://www.tokyo-park.or.jp/park/format/index058.html,35.673932,139.524254
夢の島公園,http://www.yumenoshima.jp/park/<br>一部工事中の箇所あり,35.649659,139.82649
夢の島熱帯植物館,http://www.yumenoshima.jp/botanicalhall/<br>入園料がかかります,35.651206,139.828805
横網町公園,http://tokyoireikyoukai.or.jp/,35.699292,139.797004
代々木公園,http://www.tokyo-park.or.jp/park/format/index039.html,35.671274,139.695449
陵南公園,https://tamaparks.com/ryonan/,35.648987,139.288335
林試の森公園,http://www.tokyo-park.or.jp/park/format/index003.html,35.624974,139.702471
蘆花恒春園,http://www.tokyo-park.or.jp/park/format/index007.html,35.661803,139.61253
六義園,https://www.tokyo-park.or.jp/teien/contents/index031.html<br>入園料がかかります,35.732546,139.746224
六仙公園,http://musashinoparks.com/kouen/rokusen/,35.749588,139.522741
和田堀公園,http://www.tokyo-park.or.jp/park/format/index095.html,35.684156,139.641134
有明テニスの森公園,,35.634977,139.787491
有明西ふ頭公園,,35.627311,139.794404
青海北ふ頭公園,,35.61887,139.773662
青海中央ふ頭公園,http://www.tptc.co.jp/park/01_07,35.620759,139.780349
青海南ふ頭公園,,35.614833,139.778864
青海緑道公園,http://www.tptc.co.jp/park/01_08,35.619812,139.780427
暁ふ頭公園,http://www.tptc.co.jp/park/01_10,35.608165,139.7914
有明北緑道公園,http://www.tptc.co.jp/park/02_06,35.632475,139.782922
大井ふ頭中央海浜公園スポーツの森,http://seaside-park.jp/park_ooisports/<br>一部工事中の箇所あり　　,35.592256,139.751714
大井ふ頭中央海浜公園なぎさの森,http://seaside-park.jp/park_nagisa/,35.594186,139.749734
大井ふ頭緑道公園,http://seaside-park.jp/otherpark/#otherP11,35.596494,139.754521
お台場海浜公園,http://www.tptc.co.jp/park/01_02,35.630737,139.776045
葛西海浜公園,http://www.tokyo-park.or.jp/park/format/index027.html,35.638241,139.855131
京浜運河緑道公園,http://seaside-park.jp/otherpark/#otherP09,35.606247,139.75252
京浜島つばさ公園,http://seaside-park.jp/otherpark/#otherP04,35.571013,139.770478
京浜島ふ頭公園,http://seaside-park.jp/otherpark/#otherP05,35.57175,139.760513
京浜島緑道公園,http://seaside-park.jp/otherpark/#otherP13,35.568238,139.75895
コンテナふ頭公園,http://seaside-park.jp/otherpark/#otherP02,35.603902,139.761198
品川北ふ頭公園,http://seaside-park.jp/otherpark/#otherP01,35.63033,139.755134
芝浦南埠頭公園,http://seaside-park.jp/otherpark/#otherP14,35.636963,139.760192
城南島海浜公園,http://seaside-park.jp/park_jonan/,35.578356,139.783916
城南島ふ頭公園,http://seaside-park.jp/otherpark/#otherP06,35.578688,139.772676
城南島緑道公園,http://seaside-park.jp/otherpark/#otherP12,35.579586,139.778024
新木場公園,http://www.tptc.co.jp/park/03_04,35.642082,139.823503
新木場緑道公園,http://www.tptc.co.jp/park/03_05,35.640426,139.840441
シンボルプロムナード公園,http://www.tptc.co.jp/park/01_04,35.627756,139.782606
辰巳の森海浜公園,http://www.tptc.co.jp/park/03_01<br>一部工事中の箇所あり,35.648484,139.815722
辰巳の森緑道公園,http://www.tptc.co.jp/park/03_02,35.64575,139.814328
東海埠頭公園,http://seaside-park.jp/otherpark/#otherP07,35.57775,139.756327
東海緑道公園,http://seaside-park.jp/otherpark/#otherP08,35.584841,139.754603
東京港野鳥公園,http://www.wildbirdpark.jp/<br>入園料がかかります,35.583872,139.760308
春海橋公園,http://www.tptc.co.jp/park/02_02,35.653477,139.792089
晴海ふ頭公園,http://www.tptc.co.jp/park/02_01　　　　　　　　　休園中,35.647881,139.771154
東八潮緑道公園,,35.619576,139.771766
水の広場公園,http://www.tptc.co.jp/park/02_04,35.625052,139.782704
みなとが丘ふ頭公園,http://seaside-park.jp/otherpark/#otherP03,35.596426,139.762992
夢の島緑道公園,http://www.tptc.co.jp/park/03_03,35.647501,139.830314
若洲海浜公園（ゴルフリンクス）,http://www.tptc.co.jp/park/03_07（http://wakasu.golftk.com/）,35.622301,139.837246
スタート,,35.7167092,139.6610785
平和の森公園,"<img src=""https://lh4.googleusercontent.com/soxSnBjPecdjyCSJIJAswNVblGG-neu-6Cf6fuvyCQ4Ec0gsH--Zd7XZfz2VozZ-p4TP7-nAK63Lng2OL1EGEWBBs5bkwWY0sjfcOuCt24TOlf-GXO9a8Wu2QqSf-Mnu"" height=""200"" width=""auto"" /><br><br>中野刑務所跡地に開設され、区内でも有数の広さを誇る公園です。園内には草地広場を囲むウォーキングやジョギングに人気のコースがあり、大人も楽しみながら気軽に使えるトリム遊具（健康遊具）も配置されています。<br>「スポーツとみどりで健康・交流を育む、中野の中心にふさわしい公園づくり」をテーマに再整備を進めています（平成31年（2019年）8月より全面開園予定）。 （現在再整備工事中。）",35.7170838,139.6627522
沼袋氷川神社 道灌杉,"<img src=""https://lh4.googleusercontent.com/JB8rcqYnAOjN4eeayqh4Kmak_WKfVtYTOJqsOOrNTd3nS1S25-ROPfDSx-1DttvJs9j_cn7iJSl_OGXK581BM5sv39_pD2zy2lZrXVJLXpmn0h4swyYqN8hy8-efSQ"" height=""200"" width=""auto"" /><br><br>正平年間（1346〜1370年）頃、武蔵一宮である大宮氷川神社から須佐之男命の分霊を奉祀したのが始まりです。太田道灌の戦勝祈願成就の古社としても知られ、境内には道灌ゆかりの「道灌杉」跡や御神木として祀られている「三本願い松」などがあります。",35.7196316,139.6668506
丸山塚公園,"<img src=""https://lh6.googleusercontent.com/jAxWaAGy-XG2pwXJkqLHN0m85SnN3px6LjVru9ZOGgMu4vRx1ZPGOAsuBOarfRVvW4uh0_HhvyB1XEGwBH57xtUG4nFOlRl4232_Eqc9zwhjk1S37jH-ghmppdsgKeg4"" height=""200"" width=""auto"" /><br><br>ブランコやすべり台、鉄棒などの遊具があります。樹木が多く、秋には色づきます。",35.7233902,139.6629453
武蔵野療園,"<img src=""https://lh6.googleusercontent.com/ZdIhHcsCFIFYE0c8sDftzwDU-zu8qTBMIa-LpCnRlM8LETAP_AP8c0lPDHkYiUeIZaHs2NEGkl5Sis0V4gxq7wc4iuXSJaAwA3eHH3wiSC82FJTKThQG3m7pekwCFPI"" height=""200"" width=""auto"" /><br><br>",35.7275078,139.6634951
江古田の森公園,"<img src=""https://lh5.googleusercontent.com/h0Y2soZjkQIGK81rnAl2nMD4wUycxN55rZ-XOGhhtuL3VK4EQRiNLiIZKYczqoHlFMTmjShZdEhf7_IsXd3EvdkdAc8t6xDSzal8XePddkufV4di8_jqqqjHF3bIVWk"" height=""200"" width=""auto"" /><br><br>北江古田公園が国立療養所の跡地を併合して平成19年（2007年）に開園しました。江戸時代には将軍の鷹狩りが行われた場所で、現在も区内最大規模の樹林が残っており、武蔵野の面影を感じることができます。大正元年（1912年）、日本からアメリカに贈った桜（ワシントン・ポトマック河畔）の返礼として届けられたハナミズキがこの地にかつてあった「野方苗圃」に植えられました。現在では、その原木の子孫の苗木が都立園芸高校から寄贈され、公園内のハナミズキの丘に植えられています。",35.7303014,139.6658474
ゴール,,35.7301925,139.6669793
禅定院,,35.7211527,139.6649904
実相院,,35.721346,139.6624214
百観音明治寺,,35.722094,139.66386
江古田氷川神社,,35.727327,139.666629
東福寺,,35.7273238,139.6681204
北江古田遺跡,,35.7301158,139.6675392
醤油屋のしいの木,"<img src=""https://lh6.googleusercontent.com/Bj5w02nDl_W0yIC_WsRf0oy2igH6caZQxw7RkjGXf_JSzjySyJC2d6984Bky6yqfa2i9eJJT-ABOI5Iwffkm-e1FPw4UiRd_E76r1EfC4l1iQQFYZX5wt-Ja9g8Nfb86"" height=""200"" width=""auto"" /><br><br>中野区立歴史民俗資料館に続く敷地に、樹齢およそ500年のしいの木があります。歴史民俗資料館の土地を中野区に寄贈した山﨑氏が、かつて醤油の製造販売業を営んでいたことから「醤油屋のしいの木」と呼ばれ、親しまれてきました。 区の木「しいの木」は、この木にちなんでいます。",35.7244851,139.6652441
新道橋,"<img src=""https://lh5.googleusercontent.com/QACssLirQlb9pQCABBhCsPPCtYX4-4haW-Jk6KGUhaxgGILAGcZJdRRe751IHwePmTV7MK9tLnK0M-Zu2btpyEU1_x0A1jbUbXbT4yPTIfUjydiJB9xg2mYFUuDkEA"" height=""200"" width=""auto"" /><br><br>江戸時代、このあたりで捕れた赤蛙が食材として幕府に上納されていたことから、漢方薬の材料として用いられていたと伝えられています。そのことにちなんで、橋の欄干にカエルの絵が描かれています。",35.7187312,139.663493
山﨑記念中野区立歴史民俗資料館,"<img src=""https://lh3.googleusercontent.com/70-FbHcAHQKMdbU96CkRe4_74U_7V9817VyURtEAsUhFDVVWTmi2XX9H8K63D29kch9U9MHTF4M3yTEV7uRH6UKcVtIpDiZTjVWcstdKqYEHKMvbfQ0zo_cjkl_rSrg"" height=""200"" width=""auto"" /><br><br>郷土の文化遺産を保存し、展示活用していくことを目的に、名誉都民である故・山﨑喜作氏から寄贈された土地に建設しました。常設、特別、企画の3つの展示室があり、原始から現代までの中野の歴史を知ることができるほか、駐車場には実際に使われていた蕎麦粉製粉用の石臼があります。また中野の歴史に関する様々な刊行物を閲覧・購入できます。",35.72397,139.6649177
平和の森公園 少年スポーツ広場,少年スポーツ広場周辺は再整備工事のため閉鎖中,35.7175852,139.6627109
スリランカ・カレー＆バー　スジャータ,,35.7219325,139.6627161
手作り菓子アビニヨン,"<img src=""https://lh3.googleusercontent.com/PmhrryTUKMU5xzMXPNzk9cV-GYZ9LxL7myQaeWTdW1eBpKDqbbUpCNC7AxSXaVOMRQ5D043gyy62iH47-SCM8vqUFYwEgRDbiVy6QJTLIdSu5mf2Hg1DAOdU5xyGOJ8"" height=""200"" width=""auto"" /><br><br>各国から取り寄せたこだわりのチョコレートを使い、アーモンドクリームが層になった「沼チョコ」やサツマイモの香り豊かな「王様ポテト」を味わってみては。",35.7204232,139.6634196
スタート,,35.7227717,139.6378398
鷺ノ宮駅,"<img src=""https://lh5.googleusercontent.com/UbjkTjhBMPEOuXepjH3zlaleFkXEaAAkk_bx3TytpFJbOFbUkqCdwttIdflCzAT-EfuJb3AbnqDuE5j4nUspYvgCSqcX53wRID6gv4rTGXJV21D1xX1oHC5LhLbPcnk"" height=""200"" width=""auto"" /><br><br>",35.7226062,139.6398783
オリーブ橋,"<img src=""https://lh5.googleusercontent.com/zsQWKoTqXqFA97-x5rdVihmQmBxY384oQd7YcBLoePJjXpkqShwr4qPuP9H5tROVn3G8K6szXAVSnLLKLa8z24e8CiqFGUwhLnp3ekRea-imVugXd4xsMZ2gKloMwH4"" height=""200"" width=""auto"" /><br><br>妙正寺川にかかる鮮やかな緑色の橋で、小説「二十四の瞳」の作者、壺井栄が近くに住んでいたことから、小説の舞台である小豆島の名産品オリーブにちなんで名づけられました（平成30年（2018年）７月まで工事予定）。近くにはオリーブのほか、桜など様々な樹木が植えられた若宮オリーブ公園があります。",35.7198755,139.6400446
白鷺せせらぎ公園,"<img src=""https://lh3.googleusercontent.com/osagFQGrf9zxtwmZlaEfICaBkahic3JoW6Y-eDeZye9LJhpzhzPKzWJeiFAoMbRgN_mgtfrsHrGWnJJiVWkjOL_9CWaLF0RXLg_5xWSha5rwENSWrjHG1fus0smBE_U"" height=""200"" width=""auto"" /><br><br>多目的運動場のほか、遊具や健康器具など設備が充実している公園です。",35.7170925,139.6392184
大和公園,"<img src=""https://lh5.googleusercontent.com/Vbwm3lDdWrDWoGODTEuoDfL55FMWD2aoQSk-ve0LSbQMp2CyZmOkzuJkMsl74MiFvbZs3c49O7Gs0-xFBLfoxZBaKs655pmNZXPpJFkeM0x3E5naM8SkulMfF6z2"" height=""200"" width=""auto"" /><br><br>児童館に併設しており、遊具のほか、夏季のみ利用できるじゃぶじゃぶ池もあります。",35.7157771,139.6518892
新道橋,"<img src=""https://lh3.googleusercontent.com/2ERyM9I-HoDb5Z51ue5J6bCsns8bmkN7SIppKKJOpNVeT8KZsoHpGe8-C9Y4bg1tHxfgnnsPDmssvoyCTcPTRTnw1gbtUiJRTnpBOApfQgccBABd8Gi5Xd3iyESI4yY"" height=""200"" width=""auto"" /><br><br>江戸時代、このあたりで捕れた赤蛙が食材として幕府に上納されていたことから、漢方薬の材料として用いられていたと伝えられています。そのことにちなんで、橋の欄干にカエルの絵が描かれています。",35.7187344,139.6634951
哲学堂公園,"<img src=""https://lh3.googleusercontent.com/U8uMswL4fBkd0Mh3hFjHQXqlF5iu-iFdE4RMlf6AWYz_wcEk4wCdJPUYEYb3By3yRpAS6xKCJc8TshQGK5ye704jbItFsBiPF-3iW92YxPajOAPPFa1lCdPZTLj2VfY"" height=""200"" width=""auto"" /><br><br>明治37年 （1904年）に東洋大学の創立者である井上円了博士によって、世界の哲学が学べる公園としてつくられました。 <br>　園内には、「哲学堂庭内七十七場」として、哲学に由来する名称をもつユニークな建築物や石像、池などが77ヶ所点在し、世界の哲学が視覚的に表現されています。それらを一つひとつ巡ることで、哲学の知識、考え方や世界観などが学べるよう設計されています。 明治・大正の趣を残す園内で、77の哲学を巡る思索と散策の旅を体験してみましょう。",35.7225235,139.6740282
ゴール,,35.7220139,139.6731913
大和町 八幡神社,,35.7141738,139.650571
野方町役場跡,,35.7183445,139.6534136
二十三夜塔,,35.7174532,139.6578176
野方第二公園西の地蔵,,35.7131428,139.6571162
清谷寺,,35.7185279,139.6589965
沼袋氷川神社 道灌杉,"<img src=""https://lh5.googleusercontent.com/Suwh3Vm7sI9dv2D2ZiC2L-fVpiD9wOyY50G8-nJg3wlh2a5qAEjURceWZQ_fzV3HcmQIuZHU1EWegLj-GgviMABxcXDa1v_FGCWvs1olpOk5vdnWZi76DpQWHz1kUPU"" height=""200"" width=""auto"" /><br><br>正平年間（1346〜1370年）頃、武蔵一宮である大宮氷川神社から須佐之男命の分霊を奉祀したのが始まりです。太田道灌の戦勝祈願成就の古社としても知られ、境内には道灌ゆかりの「道灌杉」跡や御神木として祀られている「三本願い松」などがあります。",35.719628,139.666849
整地碑,,35.7239174,139.67006
江古田古戦場の碑,,35.7238453,139.6706686
北野神社（松が丘）,,35.7226238,139.6712048
平和の森公園,"<img src=""https://lh6.googleusercontent.com/jBAVrup_4msO7AlX-kPpwjvfv0ZHze8H43EKxbLu-csbzU9cu0wSuTB_HBWq29Sa1FMe9pgLQVGxOLCt0fnLdSA30f2E60ADjfY636YSVxIvCaKX-5-1Lv0cqbdZzMSi"" height=""200"" width=""auto"" /><br><br>中野刑務所跡地に開設され、区内でも有数の広さを誇る公園です。園内には草地広場を囲むウォーキングやジョギングに人気のコースがあり、大人も楽しみながら気軽に使えるトリム遊具（健康遊具）も配置されています。<br>「スポーツとみどりで健康・交流を育む、中野の中心にふさわしい公園づくり」をテーマに再整備を進めています（平成31年（2019年）8月より全面開園予定）。／This is one of the largest parks in the city and it has popular walking and jogging courses surrounded by grass plazas. There is also playground equipment specially designed for light workouts that adults can use.<br>The park is being redeveloped with the theme of “Creating parks in the center of Nakano perfect for nurturing health and interactions through sport and greenery.” (The park is scheduled to be reopened in August 2019.)                                                                                                                                    現在再整備工事中。平成31年（2019年）8月より全面開園予定／Currently under refurbishment. Will reopen in August 2019.<br><br><img src=""https://lh5.googleusercontent.com/8c99eVkIYCiijYf7so0SUOVFKAHvp8juHL0PSL4qqCwifJkIiljrKKJ9wMlWULT0RP_Sgh5pliKBB3MC33OhittLWOgX_AVjBmYsVlFunYis_1OxYHyvdHG-c_wj9Xw"" height=""200"" width=""auto"" />",35.7170838,139.6631019
江古田公園,,35.7228398,139.6711951
平和の森公園 少年スポーツ広場,少年スポーツ広場周辺は再整備工事のため閉鎖中,35.7177376,139.6626412
スタート,,35.7222665,139.6394384
鷺ノ宮駅,"<img src=""https://lh6.googleusercontent.com/ik26rI9kO8dmx68gZ6t73MCDPpn9g7O_AzLeXVhSgNvYiyUFbCrwMJJkH6RidCGU7xVOYj8D0k_q-PWAfypcguOQyJuO4ENe3WqNNScQ7ysps0Dm8_z8-_lD6P8VO7g"" height=""200"" width=""auto"" /><br><br>",35.7226193,139.639889
福蔵院,"<img src=""https://lh3.googleusercontent.com/tEAdJzWYl2sK3xLPi8-wBkAgNPLqahXoCxvoam4MlIDTLx-iN20El22bu4Eu2SkGSt0x1ffa9chXZq8LVw6stqdTYSxGOJ9QD1t2TiC1MLHJFR4K_9xHl5RqWh0fY4OL"" height=""200"" width=""auto"" /><br><br>山門をくぐった右側には石造の十三仏があり、冥界で生前の審判を受ける死者の救済を願って安置されています。",35.7219138,139.6392667
鷺宮八幡神社,"<img src=""https://lh5.googleusercontent.com/nI6Hf4yLbasQ1qqe9t7AqeWe8kxRIycZIVoRk8La-1E1UY-gmF_D79GFf-KW_4aM9tUpGIGn33VYgYQTonSqrCxZB6pT73c6ecZLOYpZb40RIPyZuyGL2EK9R7TEIA"" height=""200"" width=""auto"" /><br><br>康平7年（1064年）の創建で、かつて境内には多くの鷺が住んでおり、里人が「鷺宮大明神」と呼んだことが「鷺宮」の地名の由来となったといわれています。毎年８月の例大祭で奉納される鷺宮囃子は、江戸末期から伝わるもので、区の無形民俗文化財に指定されています。",35.721622,139.6383065
